id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city
5456,8028,78702,30.26057,-97.73441,Entire Home/Apt,97.0,2,708,3.52,1,328,Austin
6448,14156,78704,30.26034,-97.76487,Entire Home/Apt,160.0,3,339,1.98,1,316,Austin
8502,25298,78741,30.23466,-97.73682,Entire Home/Apt,38.0,4,54,0.28,1,88,Austin
13035,50793,78702,30.26098,-97.73072,Entire Home/Apt,145.0,15,19,0.11,2,321,Austin
22828,56488,78741,30.23614,-97.73225,Entire Home/Apt,58.0,30,56,0.3,1,211,Austin
47572,215917,78758,30.37783,-97.70749,Private Room,49.0,30,9,0.11,1,258,Austin
50334,230747,78703,30.28315,-97.7597,Entire Home/Apt,300.0,7,2,0.01,1,365,Austin
57187,272156,78704,30.25756,-97.76995,Entire Home/Apt,150.0,1,1090,6.09,1,335,Austin
70812,268988,78704,30.24648,-97.74913,Entire Home/Apt,165.0,2,188,1.06,1,75,Austin
72833,378744,78731,30.313,-97.75066,Entire Home/Apt,117.0,3,413,2.34,1,63,Austin
73005,128514,78727,30.41419,-97.73183,Entire Home/Apt,181.0,14,45,0.25,1,147,Austin
73289,382510,78705,30.29016,-97.74478,Entire Home/Apt,101.0,30,64,0.36,2,151,Austin
74318,387918,78704,30.24473,-97.77923,Entire Home/Apt,79.0,2,262,1.49,2,313,Austin
76501,408534,78722,30.29192,-97.71939,Entire Home/Apt,103.0,2,244,1.38,1,55,Austin
77639,416628,78704,30.25023,-97.77985,Entire Home/Apt,114.0,2,58,0.44,1,353,Austin
78035,419192,78704,30.25659,-97.76772,Entire Home/Apt,650.0,3,91,0.88,2,6,Austin
78422,421002,78702,30.27443,-97.71135,Entire Home/Apt,69.0,4,41,0.23,1,170,Austin
78884,2157243,78704,30.26126,-97.77358,Entire Home/Apt,103.0,2,219,1.24,9,150,Austin
79100,425706,78723,30.30933,-97.6952,Entire Home/Apt,86.0,30,44,0.29,3,67,Austin
79603,428883,78704,30.24948,-97.75896,Entire Home/Apt,199.0,3,148,0.84,1,38,Austin
82033,445746,78723,30.30393,-97.68872,Entire Home/Apt,225.0,2,4,0.04,1,179,Austin
83643,456230,78752,30.32395,-97.71851,Private Room,50.0,2,313,1.84,1,313,Austin
104394,543424,78745,30.20276,-97.82506,Private Room,51.0,14,79,0.45,2,27,Austin
113779,578211,78751,30.302697072020656,-97.72945057695216,Entire Home/Apt,120.0,20,112,0.67,9,351,Austin
128326,634580,78736,30.24309,-98.0028,Entire Home/Apt,236.0,3,95,0.56,1,353,Austin
140474,578211,78751,30.302150849943853,-97.73045704342532,Entire Home/Apt,120.0,14,115,0.68,9,314,Austin
140504,578211,78751,30.30397191433578,-97.73037344431609,Entire Home/Apt,120.0,20,115,0.67,9,316,Austin
145210,475506,78705,30.30203,-97.74235,Entire Home/Apt,135.0,30,215,1.38,2,216,Austin
154103,741170,78704,30.25103,-97.7814,Entire Home/Apt,329.0,3,15,0.09,1,223,Austin
158398,760426,78704,30.25288,-97.78491,Entire Home/Apt,1198.0,4,19,0.12,1,269,Austin
174828,835236,78752,30.33238,-97.71233,Entire Home/Apt,168.0,2,408,2.39,1,246,Austin
184853,518748,78704,30.24106,-97.77315,Entire Home/Apt,88.0,29,14,0.18,2,89,Austin
195674,951551,78704,30.25775,-97.76703,Entire Home/Apt,550.0,2,43,0.28,1,355,Austin
202187,989596,78704,30.24867,-97.74678,Entire Home/Apt,72.0,1,1133,6.66,1,210,Austin
207054,1018853,78741,30.24434,-97.73069,Entire Home/Apt,130.0,3,237,1.4,1,50,Austin
208897,1029071,78702,30.263203,-97.699829,Entire Home/Apt,170.0,3,208,1.48,1,338,Austin
216473,1117367,78704,30.26293,-97.76403,Entire Home/Apt,205.0,2,3,0.21,1,240,Austin
222986,1157982,78702,30.25753,-97.7313,Entire Home/Apt,475.0,20,53,0.31,4,248,Austin
233930,578211,78751,30.30289,-97.72961,Entire Home/Apt,139.0,20,132,0.79,9,331,Austin
238657,1250939,78704,30.252,-97.75628,Entire Home/Apt,127.0,1,300,2.42,4,227,Austin
240541,1246229,78702,30.25424,-97.72587,Entire Home/Apt,45.0,1,948,5.74,1,107,Austin
248515,1208485,78702,30.25572,-97.72874,Entire Home/Apt,136.0,2,253,1.54,2,104,Austin
254232,1335409,78703,30.278654098510746,-97.75550842285156,Entire Home/Apt,358.0,4,13,0.08,2,271,Austin
271052,1418696,78704,30.25367,-97.77253,Entire Home/Apt,135.0,3,76,0.46,1,331,Austin
277028,746455,78703,30.28332,-97.76272,Entire Home/Apt,201.0,1,130,0.77,2,259,Austin
281182,1465788,78702,30.28032,-97.70708,Entire Home/Apt,300.0,2,60,0.36,1,68,Austin
295275,1282837,78745,30.19037,-97.79003,Entire Home/Apt,150.0,29,72,0.44,1,251,Austin
300574,167892,78704,30.25508,-97.75767,Entire Home/Apt,138.0,2,492,2.98,1,345,Austin
304808,1566930,78702,30.2733,-97.7269,Private Room,82.0,2,402,2.41,1,332,Austin
304866,1568741,78745,30.20943,-97.77117,Entire Home/Apt,89.0,2,195,1.17,21,353,Austin
315239,1617870,78745,30.21467,-97.77901,Entire Home/Apt,600.0,3,2,0.01,1,365,Austin
319759,814883,78702,30.2656766,-97.7332943,Entire Home/Apt,299.0,1,359,2.18,13,337,Austin
319894,1640172,78724,30.28354,-97.64966,Entire Home/Apt,161.0,2,237,1.44,1,351,Austin
321069,1644741,78704,30.25398,-97.77856,Entire Home/Apt,391.0,2,0,0.0,1,104,Austin
324480,1660476,78705,30.29905,-97.73881,Entire Home/Apt,75.0,30,1,0.03,2,363,Austin
325889,1666874,78704,30.24583,-97.75472,Entire Home/Apt,443.0,3,112,0.68,2,347,Austin
329172,1680871,78746,30.30085,-97.80794,Entire Home/Apt,426.0,3,7,0.04,1,363,Austin
329306,880571,78702,30.27232,-97.72579,Private Room,68.0,2,681,4.14,3,234,Austin
330301,1685125,78729,30.44936718319012,-97.76368334988985,Private Room,115.0,2,25,0.15,1,364,Austin
333442,1698318,78703,30.31267,-97.76641,Entire Home/Apt,158.0,3,198,1.26,1,284,Austin
333815,372962,78704,30.25381,-97.75262,Private Room,102.0,2,202,1.23,1,157,Austin
335945,1555683,78741,30.24026,-97.73338,Entire Home/Apt,85.0,14,33,0.2,1,49,Austin
341530,740347,78704,30.24746,-97.75662,Entire Home/Apt,192.0,2,208,1.28,2,251,Austin
341596,1733004,78704,30.24623,-97.75904,Private Room,135.0,2,107,0.65,1,56,Austin
342039,1735494,78702,30.25158,-97.73147,Entire Home/Apt,67.0,1,430,2.62,3,138,Austin
343258,1649892,78745,30.20558,-97.79019,Entire Home/Apt,115.0,2,39,0.24,1,271,Austin
